Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Eduardo Camavinga,2018/2019 - Rennes,French Ligue 1,€,57.5,Stade Rennais FC,France,"18,26",CM,7,363,,,0.49586776859504134,2,"50,0%",,,,,,0.743801652892562,,2.7272727272727275,,,
Elisha Owusu,2017/2018 - Lyon,French Ligue 1,€,10.1,KAA Gent,France,"23,27",DM,0,,,,,0,,,,,,,,,,,,
Elisha Owusu,2017/2018 - Lyon,UEFA Europa League,€,10.1,KAA Gent,France,"23,27",DM,0,,,,,0,,,,,,,,,,,,
Elisha Owusu,2018/2019 - Sochaux,French Ligue 2,€,10.1,KAA Gent,France,"23,27",DM,33,2780,,,0.2913669064748201,9,,,,,,,1.3597122302158273,,0.9388489208633094,,,
Elisha Owusu,2019/2020 - KAA Gent,Belgian Jupiler Pro League,€,10.1,KAA Gent,France,"23,27",DM,27,2213,,,0.20334387708992316,5,,,,,,,1.0573881608676006,,1.1793944871215545,,,
Erling Haaland,2018/2019 - FC Red Bull Salzburg,UEFA Europa League,€,110,Borussia Dortmund,Norway,"20,57",FW,1,4,,,,0,,,,,,,,,,,,
Esteban Andrada,2016/2017 - Lanús,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,16,1440,,,,0,,,,,,,0.0625,,0.25,,,
Esteban Andrada,2017/2018 - Lanús,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,18,1620,,,,0,,,,,,,,,0.38888888888888884,,,
Esteban Andrada,2018/2019 - Boca Juniors,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,18,1620,,,,0,,,,,,,,,0.2777777777777778,,,
Esteban Andrada,2019/2020 - Boca Juniors,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,20,1800,,,,0,,,,,,,0.05,,0.4,,,
Fabián Ruiz,2016/2017 - Real Betis,Spanish La Liga,€,55,SSC Napoli,Spain,"24,87",CM,4,154,,,0.5844155844155845,1,,,,,,,0.5844155844155845,,,,,
