Player,Season - Club played for,Competition name,Value currency (million),Market value,Current club (20/21 season),Player nationality,Player age,Position,games_appearances,mins_played,goals,goal_assist,Average of Attempts per 90 mins weighted by mins_played per _Season - Club - Competition,total_scoring_att,Average of Attempts on target weighted by mins_played per _Season - Club - Competition,Average of Conversion rate weighted by total_scoring_att per _Season - Club - Competition,Big chances missed,Average of Minute per goal weighted by goals per _Season - Club - Competition,Average of Minute per assist weighted by goals per _Season - Club - Competition,Average of Minute per goal or assist weighted by goals per _Season - Club - Competition,Dribbles per 90 minutes weighted by mins_played per _Season - Club - Competition,Offsides per 90 mins weighted by mins_played per _Season - Club - Competition,Was fouled per 90 mins weighted by mins_played per _Season - Club - Competition,att_pen_goal,Penalties missed,Average of Penalty conversion rate weighted by mins_played per _Season - Club - Competition
Phil Foden,2016/2017 - Manchester City,UEFA Champions League,€,69.6,Manchester City FC,England,"20,71",CM,0,,,,,0,,,,,,,,,,,,
Phil Foden,2017/2018 - Manchester City,English Premier League,€,69.6,Manchester City FC,England,"20,71",CM,5,45,,1,,0,,,,,45,45,6,,6,,,
Phil Foden,2017/2018 - Manchester City,UEFA Champions League,€,69.6,Manchester City FC,England,"20,71",CM,3,194,,,0.4639175257731959,1,,,,,,,2.783505154639175,,0.9278350515463918,,,
Pierre-Emile Höjbjerg,2016/2017 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,22,1299,,,1.9399538106235565,28,"14,3%",,1,,,,1.0392609699769053,,2.0785219399538106,,,
Pierre-Emile Höjbjerg,2016/2017 - Southampton,UEFA Europa League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,6,412,,,1.7475728155339805,8,,,,,,,1.7475728155339805,,1.7475728155339805,,,
Pierre-Emile Höjbjerg,2017/2018 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,23,1671,,,0.8617594254937163,16,"37,5%",,1,,,,1.1310592459605027,0.05385996409335727,1.5619389587073609,,,
Pierre-Emile Höjbjerg,2019/2020 - Southampton,English Premier League,€,46.3,Tottenham Hotspur FC,Denmark,"25,53",DM,33,2750,,1,1.5054545454545454,46,"23,9%",,5,,2750,2750,1.309090909090909,0.03272727272727272,1.1781818181818182,,,
Piotr Zielinski,2016/2017 - Napoli,UEFA Champions League,€,40.5,SSC Napoli,Poland,"26,74",CM,7,305,,,1.180327868852459,4,"50,0%",,,,,,0.5901639344262295,,1.4754098360655739,,,
Piotr Zielinski,2018/2019 - Napoli,UEFA Champions League,€,40.5,SSC Napoli,Poland,"26,74",CM,6,181,,,1.9889502762430935,4,"25,0%",,,,,,1.9889502762430935,,,,,
Rafa Silva,2016/2017 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,3,126,,,2.8571428571428568,4,"25,0%",,,,,,,0.7142857142857142,0.7142857142857142,,,
Rafa Silva,2016/2017 - Sporting Braga,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,1,74,,,1.2162162162162162,1,,,,,,,,,1.2162162162162162,,,
Rafa Silva,2017/2018 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,1,1,,,,0,,,,,,,,,,,,
Rafa Silva,2018/2019 - Benfica,UEFA Champions League,€,28.5,SL Benfica,Portugal,"27,75",LW,6,368,,,1.7119565217391308,7,"28,6%",,,,,,1.2228260869565217,,2.2010869565217392,,,
Rafa Silva,2018/2019 - Benfica,UEFA Europa League,€,28.5,SL Benfica,Portugal,"27,75",LW,5,315,,,2,7,"14,3%",,,,,,2,0.2857142857142857,0.8571428571428571,,,
Raphaël Varane,2017/2018 - Real Madrid,Spanish La Liga,€,69.4,Real Madrid CF,France,"27,81",CB,27,2323,,1,0.38743004735256137,10,"20,0%",,2,,2323,2323,0.3486870426173052,,0.46491605682307363,,,
Raphaël Varane,2017/2018 - Real Madrid,UEFA Champions League,€,69.4,Real Madrid CF,France,"27,81",CB,11,938,,,0.6716417910447762,7,,,1,,,,0.3837953091684435,,0.3837953091684435,,,
Raphaël Varane,2018/2019 - Real Madrid,UEFA Champions League,€,69.4,Real Madrid CF,France,"27,81",CB,4,360,,,1,4,"25,0%",,2,,,,,,0.25,,,
Raúl Jiménez,2017/2018 - Benfica,UEFA Champions League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,5,308,,,2.6298701298701297,9,"33,3%",,2,,,,0.8766233766233766,0.8766233766233766,2.0454545454545454,,,
Reece James,2019/2020 - Chelsea,English Premier League,€,47.7,Chelsea FC,England,"21,19",RB,24,1513,,2,1.0707204230006608,18,"16,7%",,,,757,757,1.7845340383344348,0.059484467944481166,1.2491738268341044,,,
Rodri,2016/2017 - Villarreal,Spanish La Liga,€,71.8,Manchester City FC,Spain,"24,65",DM,23,837,,1,0.8602150537634408,8,"12,5%",,,,837,837,0.3225806451612903,,1.5053763440860215,,,
Rodri,2017/2018 - Villarreal,UEFA Europa League,€,71.8,Manchester City FC,Spain,"24,65",DM,6,458,,1,0.3930131004366812,2,,,,,458,458,0.5895196506550218,,1.1790393013100435,,,
Rodri,2018/2019 - Atlético de Madrid,UEFA Champions League,€,71.8,Manchester City FC,Spain,"24,65",DM,8,606,,,0.594059405940594,4,,,,,,,0.594059405940594,,0.297029702970297,,,
Rodrigo Bentancur,2016/2017 - Boca Juniors,Argentina Superliga,€,54.3,Juventus FC,Uruguay,"23,64",CM,22,1836,,3,1.2254901960784315,25,"20,0%",,,,612,612,0.9313725490196079,0.04901960784313726,0.6862745098039216,,,
Rodrigo Bentancur,2017/2018 - Juventus,Italian Serie A,€,54.3,Juventus FC,Uruguay,"23,64",CM,20,566,,,0.7950530035335689,5,"40,0%",,,,,,1.431095406360424,,1.9081272084805658,,,
Rodrigo Bentancur,2017/2018 - Juventus,UEFA Champions League,€,54.3,Juventus FC,Uruguay,"23,64",CM,5,291,,,1.2371134020618557,4,,,,,,,0.9278350515463918,,1.2371134020618557,,,
Rodrigo Bentancur,2018/2019 - Juventus,UEFA Champions League,€,54.3,Juventus FC,Uruguay,"23,64",CM,7,550,,,0.8181818181818181,5,,,,,,,1.309090909090909,,1.4727272727272729,,,
Rodrigo Bentancur,2019/2020 - Juventus,Italian Serie A,€,54.3,Juventus FC,Uruguay,"23,64",CM,30,2198,,7,0.6551410373066424,16,"18,8%",,,,314,314,1.4740673339399455,0.12283894449499545,1.1464968152866242,,,
Rodrygo,2017/2018 - Santos,Brazilian Serie A,€,55.3,Real Madrid CF,Brazil,"20,10",RW,2,21,,,4.285714285714286,1,,,,,,,,,,,,
Rúben Dias,2017/2018 - Benfica,UEFA Champions League,€,76,Manchester City FC,Portugal,"23,75",CB,2,180,,,0.5,1,,,,,,,,,,,,
