Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
Ciro Immobile,2018/2019 - Lazio,Italian Serie A,€,51.6,SS Lazio,Italy,"30,99",FW,36,2858,0.7557732680195941,24,39,0.6153846153846154,6,
Dayot Upamecano,2019/2020 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,28,2359,1.030097498940229,27,13,2.076923076923077,6,1
Declan Rice,2019/2020 - West Ham United,English Premier League,€,65,West Ham United FC,England,"22,09",DM,38,3420,1.0789473684210527,41,7,5.857142857142857,6,
Emiliano Buendía,2018/2019 - Norwich City,English Football League - Championship,€,27.2,Norwich City FC,Argentina,"24,14",RW,38,2859,1.762854144805876,56,88,0.6363636363636364,6,1
Emiliano Buendía,2019/2020 - Norwich City,English Premier League,€,27.2,Norwich City FC,Argentina,"24,14",RW,36,2462,1.3160032493907392,36,54,0.6666666666666666,6,1
Fabinho,2018/2019 - Liverpool,English Premier League,€,51,Liverpool FC,Brazil,"27,31",DM,28,2012,1.297216699801193,29,30,0.9666666666666667,6,
Fabinho,2019/2020 - Liverpool,English Premier League,€,51,Liverpool FC,Brazil,"27,31",DM,28,2074,1.3886210221793636,32,20,1.6,6,
Ferland Mendy,2019/2020 - Real Madrid,Spanish La Liga,€,46.4,Real Madrid CF,France,"25,69",LB,25,1806,1.245847176079734,25,29,0.8620689655172413,6,1
Florian Neuhaus,2019/2020 - Borussia Mönchengladbach,German Bundesliga,€,41.1,Borussia VfL Mönchengladbach,Germany,"23,91",CM,30,2358,0.8015267175572519,21,50,0.42,6,
Gabriel Jesus,2017/2018 - Manchester City,English Premier League,€,73.1,Manchester City FC,Brazil,"23,87",FW,29,1671,1.5080789946140034,28,18,1.5555555555555556,6,0
Gerard Moreno,2016/2017 - Espanyol,Spanish La Liga,€,40.6,Villarreal CF,Spain,"28,86",FW,37,3280,1.454268292682927,53,49,1.0816326530612246,6,0
Giorgian de Arrascaeta,2016/2017 - Cruzeiro,Brazilian Serie A,€,19.1,CR Flamengo,Uruguay,"26,71",AM,31,2414,1.5285832642916322,41,64,0.640625,6,1
Harry Maguire,2018/2019 - Leicester City,English Premier League,€,59.2,Manchester United FC,England,"27,95",CB,31,2599,0.6925740669488265,20,16,1.25,6,1
Harry Maguire,2019/2020 - Manchester United,English Premier League,€,59.2,Manchester United FC,England,"27,95",CB,38,3420,0.868421052631579,33,22,1.5,6,
Irfan Can Kahveci,2018/2019 - Istanbul Basaksehir,Turkish Super Lig,€,11.1,Istanbul Basaksehir FK,Turkey,"25,58",CM,32,2544,2.405660377358491,68,48,1.4166666666666667,6,
Irfan Can Kahveci,2019/2020 - Istanbul Basaksehir,Turkish Super Lig,€,11.1,Istanbul Basaksehir FK,Turkey,"25,58",CM,29,2424,1.8193069306930694,49,39,1.2564102564102564,6,1
Ismaïla Sarr,2018/2019 - Rennes,French Ligue 1,€,23.9,Watford FC,Senegal,"22,97",RW,35,2794,1.1596277738010021,36,98,0.3673469387755102,6,
Jack Grealish,2017/2018 - Aston Villa,English Football League - Championship,€,71.2,Aston Villa FC,England,"25,43",AM,30,2128,1.0150375939849623,24,101,0.2376237623762376,6,
João Félix,2019/2020 - Atlético de Madrid,Spanish La Liga,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,27,1747,1.700057240984545,33,39,0.8461538461538461,6,
José Giménez,2017/2018 - Atlético de Madrid,Spanish La Liga,€,41,Atlético de Madrid,Uruguay,"26,07",CB,23,1684,0.8016627078384798,15,18,0.8333333333333334,6,0
Jude Bellingham,2019/2020 - Birmingham City,English Football League - Championship,€,45,Borussia Dortmund,England,"17,63",CM,41,2709,1.5614617940199336,47,57,0.8245614035087719,6,
Jules Koundé,2019/2020 - Sevilla,Spanish La Liga,€,60,Sevilla FC,France,"22,26",CB,29,2306,0.8196010407632263,21,11,1.9090909090909092,6,
Kalidou Koulibaly,2016/2017 - Napoli,Italian Serie A,€,45.1,SSC Napoli,Senegal,"29,65",CB,28,2472,1.5655339805825244,43,13,3.3076923076923075,6,0
Koke,2016/2017 - Atlético de Madrid,Spanish La Liga,€,48.9,Atlético de Madrid,Spain,"29,10",CM,36,3171,0.8230842005676443,29,56,0.5178571428571429,6,1
