Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,FOULS per 90 mins weighted by mins_played per _Season - Club - Competition,fouls,was_fouled,Foul committed / Was fouled ratio weighted by was_fouled per _Season - Club - Competition,yellow_card,red_card
Jesús Corona,2018/2019 - FC Porto,UEFA Champions League,€,29.7,FC Porto,Mexico,"28,11",RW,8,561,1.7647058823529411,11,7,1.5714285714285714,3,
Jhon Lucumí,2019/2020 - KRC Genk,Belgian Jupiler Pro League,€,9.4,KRC Genk,Colombia,"22,64",CB,22,1919,0.6096925482021887,13,14,0.9285714285714286,3,
Jhon Lucumí,2020/2021 - KRC Genk,Belgian Jupiler Pro League,€,9.4,KRC Genk,Colombia,"22,64",CB,15,1345,0.6691449814126393,10,8,1.25,3,0
Joe Gomez,2017/2018 - Liverpool,English Premier League,€,50.2,Liverpool FC,England,"23,73",CB,23,1901,0.7101525512887954,15,10,1.5,3,0
Jorginho,2016/2017 - Napoli,Italian Serie A,€,44,Chelsea FC,Italy,"29,15",DM,27,2148,1.1731843575418994,28,26,1.0769230769230769,3,0
Jorginho,2019/2020 - Chelsea,UEFA Champions League,€,44,Chelsea FC,Italy,"29,15",DM,7,612,1.6176470588235292,11,5,2.2,3,0
José Giménez,2018/2019 - Atlético de Madrid,UEFA Champions League,€,41,Atlético de Madrid,Uruguay,"26,07",CB,5,360,1.75,7,4,1.75,3,
Joshua Kimmich,2018/2019 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,7,630,0.5714285714285714,4,15,0.26666666666666666,3,
Joshua Kimmich,2019/2020 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,11,903,1.3953488372093024,14,15,0.9333333333333333,3,0
Joshua Kimmich,2020/2021 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,6,461,0.5856832971800434,3,15,0.2,3,0
Kai Havertz,2017/2018 - Bayer 04 Leverkusen,German Bundesliga,€,90,Chelsea FC,Germany,"21,68",AM,30,2140,1.2616822429906542,30,46,0.6521739130434783,3,0
Kai Havertz,2019/2020 - Bayer 04 Leverkusen,German Bundesliga,€,90,Chelsea FC,Germany,"21,68",AM,30,2462,0.950446791226645,26,33,0.7878787878787878,3,
Kalidou Koulibaly,2017/2018 - Napoli,UEFA Champions League,€,45.1,SSC Napoli,Senegal,"29,65",CB,5,450,1.8,9,2,4.5,3,0
Kevin De Bruyne,2019/2020 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,35,2798,0.8363116511794138,26,28,0.9285714285714286,3,
Koke,2017/2018 - Atlético de Madrid,Spanish La Liga,€,48.9,Atlético de Madrid,Spain,"29,10",CM,35,2762,0.782041998551774,24,51,0.47058823529411764,3,0
Kurt Zouma,2018/2019 - Everton,English Premier League,€,48.2,Chelsea FC,France,"26,30",CB,32,2612,0.6891271056661562,20,15,1.3333333333333333,3,1
Lautaro Martínez,2016/2017 - Racing Club,Argentina Superliga,€,83.9,FC Internazionale Milano,Argentina,"23,48",FW,23,1256,2.7229299363057327,38,53,0.7169811320754716,3,0
Leon Goretzka,2017/2018 - FC Schalke 04,German Bundesliga,€,59.3,FC Bayern München,Germany,"26,03",CM,26,1983,1.5431164901664145,34,55,0.6181818181818182,3,0
Leon Goretzka,2018/2019 - FC Bayern München,German Bundesliga,€,59.3,FC Bayern München,Germany,"26,03",CM,30,2019,1.2481426448736999,28,20,1.4,3,
Lionel Messi,2017/2018 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,36,2996,0.5106809078771696,17,80,0.2125,3,0
Lionel Messi,2018/2019 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,34,2710,0.7306273062730627,22,66,0.3333333333333333,3,
Lionel Messi,2020/2021 - Barcelona,Spanish La Liga,€,74.5,FC Barcelona,Argentina,"33,64",RW,10,855,0.7368421052631581,7,25,0.28,3,0
Luca Waldschmidt,2019/2020 - Sport-Club Freiburg,German Bundesliga,€,19.8,SL Benfica,Germany,"24,74",FW,23,1270,1.1338582677165354,16,11,1.4545454545454546,3,
Lucas Hernández,2019/2020 - FC Bayern München,German Bundesliga,€,41.5,FC Bayern München,France,"25,00",LB,19,914,1.3785557986870898,14,22,0.6363636363636364,3,
Lucas Ocampos,2016/2017 - Milan,Italian Serie A,€,52,Sevilla FC,Argentina,"26,60",RW,12,533,2.026266416510319,12,14,0.8571428571428571,3,0
Marcel Sabitzer,2016/2017 - RB Leipzig,German Bundesliga,€,41.3,RB Leipzig,Austria,"26,91",RW,32,2601,0.7958477508650519,23,38,0.6052631578947368,3,0
Marcus Rashford,2016/2017 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,32,1701,0.8465608465608465,16,32,0.5,3,0
Marcus Rashford,2017/2018 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,35,1807,1.0459324847814055,21,17,1.2352941176470589,3,0
Marcus Rashford,2018/2019 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,33,2342,0.9991460290350128,26,52,0.5,3,1
Marcus Rashford,2019/2020 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,31,2653,0.712401055408971,21,45,0.4666666666666667,3,
Marcus Thuram,2019/2020 - Borussia Mönchengladbach,German Bundesliga,€,41.5,Borussia VfL Mönchengladbach,France,"23,53",LW,31,2216,2.111913357400722,52,61,0.8524590163934426,3,
Marcus Thuram,2020/2021 - Borussia Mönchengladbach,German Bundesliga,€,41.5,Borussia VfL Mönchengladbach,France,"23,53",LW,10,500,2.16,12,16,0.75,3,0
Martin Ødegaard,2019/2020 - Real Sociedad,Spanish La Liga,€,50,Real Madrid CF,Norway,"22,16",AM,31,2532,0.8530805687203792,24,37,0.6486486486486487,3,
Mason Mount,2019/2020 - Chelsea,English Premier League,€,66,Chelsea FC,England,"22,10",AM,37,2872,1.1594707520891365,37,38,0.9736842105263158,3,
Mateo Kovacic,2018/2019 - Chelsea,English Premier League,€,48.1,Chelsea FC,Croatia,"26,78",CM,32,1744,0.9805045871559633,19,33,0.5757575757575758,3,
Matheus Henrique,2018/2019 - Grêmio,Brazilian Serie A,€,21,Gremio FBPA,Brazil,"23,16",CM,12,756,1.4285714285714284,12,9,1.3333333333333333,3,
Matías Zaracho,2018/2019 - Racing Club,Argentina Superliga,€,16.5,Clube Atlético Mineiro,Argentina,"22,93",AM,23,1685,1.1750741839762613,22,34,0.6470588235294118,3,1
Max Aarons,2020/2021 - Norwich City,English Football League - Championship,€,26.6,Norwich City FC,England,"21,11",RB,17,1529,0.6474820143884893,11,26,0.4230769230769231,3,0
Mbwana Samatta,2016/2017 - KRC Genk,Belgian Jupiler Pro League,€,11.3,Fenerbahce SK,Tanzania,"28,15",FW,27,1676,1.2887828162291168,24,37,0.6486486486486487,3,0
Mbwana Samatta,2018/2019 - KRC Genk,Belgian Jupiler Pro League,€,11.3,Fenerbahce SK,Tanzania,"28,15",FW,38,3190,0.9310344827586207,33,51,0.6470588235294118,3,
Milan Skriniar,2018/2019 - Internazionale,UEFA Champions League,€,42.5,FC Internazionale Milano,Slovakia,"26,01",CB,6,540,1,6,4,1.5,3,
Moussa Diaby,2019/2020 - Bayer 04 Leverkusen,German Bundesliga,€,59.6,Bayer 04 Leverkusen,France,"21,61",LW,28,1769,0.6613906161673262,13,20,0.65,3,
Neymar,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,7,585,1.3846153846153846,9,31,0.2903225806451613,3,0
N'Golo Kanté,2017/2018 - Chelsea,English Premier League,€,51.5,Chelsea FC,France,"29,88",CM,34,2998,1.2308205470313542,41,15,2.7333333333333334,3,0
N'Golo Kanté,2018/2019 - Chelsea,English Premier League,€,51.5,Chelsea FC,France,"29,88",CM,36,3095,1.0177705977382876,35,13,2.6923076923076925,3,
Ozan Tufan,2016/2017 - Fenerbahçe,Turkish Super Lig,€,9.4,Fenerbahce SK,Turkey,"25,90",CM,22,1168,1.9263698630136987,25,25,1,3,0
Ozan Tufan,2020/2021 - Fenerbahçe,Turkish Super Lig,€,9.4,Fenerbahce SK,Turkey,"25,90",CM,11,773,1.5135834411384217,13,21,0.6190476190476191,3,0
Paul Onuachu,2020/2021 - KRC Genk,Belgian Jupiler Pro League,€,14.1,KRC Genk,Nigeria,"26,71",FW,14,1078,1.6697588126159555,20,30,0.6666666666666666,3,0
Pedro de La Vega,2019/2020 - Lanús,Argentina Superliga,€,10,Club Atlético Lanús,Argentina,"20,02",RW,17,361,1.4958448753462603,6,8,0.75,3,
Pierre-Emerick Aubameyang,2016/2017 - Borussia Dortmund,German Bundesliga,€,39.5,Arsenal FC,Gabon,"31,66",FW,32,2781,0.7443365695792881,23,21,1.0952380952380953,3,0
Pierre-Emerick Aubameyang,2019/2020 - Arsenal,English Premier League,€,39.5,Arsenal FC,Gabon,"31,66",FW,36,3138,0.40152963671128117,14,20,0.7,3,1
Piotr Zielinski,2017/2018 - Napoli,Italian Serie A,€,40.5,SSC Napoli,Poland,"26,74",CM,36,1659,0.705244122965642,13,26,0.5,3,0
Rafa Silva,2019/2020 - Benfica,Portuguese Primeira Liga,€,28.5,SL Benfica,Portugal,"27,75",LW,25,1698,1.1130742049469964,21,57,0.3684210526315789,3,
Raheem Sterling,2016/2017 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,7,577,1.2478336221837087,8,16,0.5,3,0
Raheem Sterling,2017/2018 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2592,1.3541666666666665,39,58,0.6724137931034483,3,1
Raheem Sterling,2018/2019 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,34,2776,1.296829971181556,40,44,0.9090909090909091,3,
Raúl Jiménez,2016/2017 - Benfica,Portuguese Primeira Liga,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,19,773,1.630012936610608,14,20,0.7,3,0
Raúl Jiménez,2017/2018 - Benfica,Portuguese Primeira Liga,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,33,967,1.7683557394002067,19,20,0.95,3,0
Raúl Jiménez,2019/2020 - Wolverhampton Wanderers,English Premier League,€,45.5,Wolverhampton Wanderers FC,Mexico,"29,78",FW,38,3244,1.0819975339087546,39,35,1.1142857142857143,3,
Rodrigo Bentancur,2016/2017 - Boca Juniors,Argentina Superliga,€,54.3,Juventus FC,Uruguay,"23,64",CM,22,1836,1.9607843137254903,40,14,2.857142857142857,3,0
Rodrigo Bentancur,2017/2018 - Juventus,UEFA Champions League,€,54.3,Juventus FC,Uruguay,"23,64",CM,5,291,1.8556701030927836,6,4,1.5,3,0
Romelu Lukaku,2016/2017 - Everton,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,37,3267,0.9090909090909093,33,34,0.9705882352941176,3,0
Rúben Neves,2020/2021 - Wolverhampton Wanderers,English Premier League,€,51.1,Wolverhampton Wanderers FC,Portugal,"23,92",DM,11,707,1.4002828854314002,11,3,3.6666666666666665,3,0
Ryan Gravenberch,2019/2020 - Jong Ajax,Dutch Eerste Divisie,€,30,AFC Ajax,Netherlands,"18,75",CM,17,1486,1.756393001345895,29,22,1.3181818181818181,3,
Ryan Gravenberch,2020/2021 - Ajax,Dutch Eredivisie,€,30,AFC Ajax,Netherlands,"18,75",CM,9,746,1.6890080428954422,14,9,1.5555555555555556,3,0
Sadio Mané,2017/2018 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,29,2206,0.9791477787851315,24,50,0.48,3,1
Sadio Mané,2019/2020 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,35,2753,1.5038140210679258,46,51,0.9019607843137255,3,
Santos Borré,2018/2019 - River Plate,Argentina Superliga,€,8.5,River Plate,Colombia,"25,42",FW,19,1299,1.5935334872979214,23,13,1.7692307692307692,3,
Saúl Ñíguez,2017/2018 - Atlético de Madrid,UEFA Europa League,€,85,Atlético de Madrid,Spain,"26,23",CM,9,736,1.2228260869565217,10,10,1,3,0
Sébastien Haller,2016/2017 - FC Utrecht,Dutch Eredivisie,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,36,3224,1.0887096774193548,39,85,0.4588235294117647,3,0
Sébastien Haller,2018/2019 - Eintracht Frankfurt,German Bundesliga,€,26.2,West Ham United FC,Ivory Coast,"26,65",FW,29,2181,1.7331499312242091,42,43,0.9767441860465116,3,
Sergej Milinkovic-Savic,2017/2018 - Lazio,UEFA Europa League,€,65,SS Lazio,Serbia,"25,97",CM,8,524,2.404580152671756,14,13,1.0769230769230769,3,0
Tanguy Ndombélé,2018/2019 - Lyon,French Ligue 1,€,42.5,Tottenham Hotspur FC,France,"24,13",CM,34,2691,1.4046822742474916,42,72,0.5833333333333334,3,
Tanguy Ndombélé,2019/2020 - Tottenham Hotspur,English Premier League,€,42.5,Tottenham Hotspur FC,France,"24,13",CM,21,1007,1.2512413108242304,14,29,0.4827586206896552,3,
Theo Bongonda,2016/2017 - Celta de Vigo,Spanish La Liga,€,11,KRC Genk,Belgium,"25,24",LW,30,2170,0.5806451612903226,14,37,0.3783783783783784,3,0
Theo Bongonda,2019/2020 - KRC Genk,Belgian Jupiler Pro League,€,11,KRC Genk,Belgium,"25,24",LW,22,1419,1.1416490486257929,18,51,0.35294117647058826,3,
Theo Hernández,2020/2021 - Milan,Italian Serie A,€,52.8,AC Milan,France,"23,36",LB,10,900,0.9,9,23,0.391304347826087,3,0
Thiago,2017/2018 - FC Bayern München,German Bundesliga,€,41.3,Liverpool FC,Spain,"29,85",CM,19,1243,1.7377312952534187,24,14,1.7142857142857142,3,0
Thorgan Hazard,2016/2017 - Borussia Mönchengladbach,German Bundesliga,€,42.5,Borussia Dortmund,Belgium,"27,88",LW,23,1631,1.600245248313918,29,29,1,3,0
Thorgan Hazard,2019/2020 - Borussia Dortmund,German Bundesliga,€,42.5,Borussia Dortmund,Belgium,"27,88",LW,33,2388,1.3944723618090453,37,40,0.925,3,
Todd Cantwell,2017/2018 - Fortuna Sittard,Dutch Eerste Divisie,€,14.6,Norwich City FC,England,"22,97",LW,10,744,0.12096774193548387,1,17,0.058823529411764705,3,
Todd Cantwell,2018/2019 - Norwich City,English Football League - Championship,€,14.6,Norwich City FC,England,"22,97",LW,24,1596,0.9022556390977443,16,42,0.38095238095238093,3,
Toni Kroos,2016/2017 - Real Madrid,UEFA Champions League,€,51.5,Real Madrid CF,Germany,"31,11",CM,12,1027,0.7887049659201558,9,21,0.42857142857142855,3,0
Toni Kroos,2020/2021 - Real Madrid,Spanish La Liga,€,51.5,Real Madrid CF,Germany,"31,11",CM,9,587,1.9931856899488927,13,9,1.4444444444444444,3,0
Trent Alexander-Arnold,2017/2018 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,19,1575,0.6857142857142857,12,1,12,3,0
Trent Alexander-Arnold,2018/2019 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,29,2466,0.510948905109489,14,7,2,3,
Vinícius Júnior,2017/2018 - Flamengo,Brazilian Serie A,€,45.9,Real Madrid CF,Brazil,"20,59",LW,25,702,1.5384615384615385,12,24,0.5,3,0
Vinícius Júnior,2018/2019 - Flamengo,Brazilian Serie A,€,45.9,Real Madrid CF,Brazil,"20,59",LW,12,974,0.7392197125256674,8,27,0.2962962962962963,3,
Virgil van Dijk,2016/2017 - Southampton,English Premier League,€,68,Liverpool FC,Netherlands,"29,60",CB,21,1854,0.8737864077669902,18,17,1.0588235294117647,3,1
Virgil van Dijk,2018/2019 - Liverpool,UEFA Champions League,€,68,Liverpool FC,Netherlands,"29,60",CB,12,1080,0.6666666666666667,8,5,1.6,3,
Youri Tielemans,2016/2017 - RSC Anderlecht,UEFA Europa League,€,50.7,Leicester City FC,Belgium,"23,77",CM,11,947,1.9007391763463568,20,12,1.6666666666666667,3,0
Youri Tielemans,2018/2019 - Monaco,UEFA Champions League,€,50.7,Leicester City FC,Belgium,"23,77",CM,6,540,1.5,9,13,0.6923076923076923,3,
Youri Tielemans,2020/2021 - Leicester City,English Premier League,€,50.7,Leicester City FC,Belgium,"23,77",CM,11,990,1,11,20,0.55,3,0
Zinho Vanheusden,2019/2020 - Standard Liège,Belgian Jupiler Pro League,€,15,Royal Standard de Liège,Belgium,"21,55",CB,20,1742,1.5499425947187138,30,15,2,3,2
Abdülkadir Ömür,2019/2020 - Trabzonspor,Turkish Super Lig,€,16.5,Trabzonspor,Turkey,"21,64",AM,14,1052,0.7699619771863118,9,30,0.3,2,
Achraf Hakimi,2020/2021 - Internazionale,Italian Serie A,€,70.2,FC Internazionale Milano,Morocco,"22,28",RB,10,575,0.9391304347826089,6,8,0.75,2,0
Agustín Almendra,2018/2019 - Boca Juniors,Argentina Superliga,€,12,Boca Juniors,Argentina,"21,01",CM,15,1074,1.3407821229050279,16,32,0.5,2,
Agustín Almendra,2019/2020 - Boca Juniors,Argentina Superliga,€,12,Boca Juniors,Argentina,"21,01",CM,6,441,1.2244897959183674,6,9,0.6666666666666666,2,1
Agustín Urzi,2018/2019 - Banfield,Argentina Superliga,€,10.5,Club Atlético Banfield,Argentina,"20,78",LW,10,668,2.559880239520958,19,18,1.0555555555555556,2,
Albert Sambi Lokonga,2019/2020 - RSC Anderlecht,Belgian Jupiler Pro League,€,11,RSC Anderlecht,Belgium,"21,31",CM,23,1994,1.399197592778335,31,74,0.4189189189189189,2,1
Alessandro Bastoni,2018/2019 - Parma,Italian Serie A,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,24,1686,0.8540925266903915,16,19,0.8421052631578947,2,
Alessandro Bastoni,2020/2021 - Internazionale,UEFA Champions League,€,44.4,FC Internazionale Milano,Italy,"21,84",CB,6,411,1.094890510948905,5,3,1.6666666666666667,2,0
Alphonso Davies,2019/2020 - FC Bayern München,German Bundesliga,€,80.6,FC Bayern München,Canada,"20,29",LB,29,2234,1.0071620411817368,25,34,0.7352941176470589,2,1
Alphonso Davies,2019/2020 - FC Bayern München,UEFA Champions League,€,80.6,FC Bayern München,Canada,"20,29",LB,8,714,0.7563025210084033,6,9,0.6666666666666666,2,0
Altay Bayindir,2018/2019 - Ankaragücü,Turkish Super Lig,€,11.7,Fenerbahce SK,Turkey,"22,84",GK,17,1530,,,2,,2,
Álvaro Morata,2019/2020 - Atlético de Madrid,UEFA Champions League,€,55.9,Juventus FC,Spain,"28,31",FW,8,485,2.2268041237113403,12,14,0.8571428571428571,2,0
André Onana,2016/2017 - Ajax,Dutch Eredivisie,€,30.6,AFC Ajax,Cameroon,"24,87",GK,32,2880,,,1,,2,0
André Onana,2016/2017 - Ajax,UEFA Europa League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,14,1290,,,1,,2,0
André Onana,2018/2019 - Ajax,UEFA Champions League,€,30.6,AFC Ajax,Cameroon,"24,87",GK,12,1080,,,1,,2,
Andrew Robertson,2017/2018 - Liverpool,English Premier League,€,67.3,Liverpool FC,Scotland,"26,93",LB,22,1943,0.6948018528049408,15,4,3.75,2,0
Andrew Robertson,2019/2020 - Liverpool,English Premier League,€,67.3,Liverpool FC,Scotland,"26,93",LB,36,3113,0.5203983295856087,18,13,1.3846153846153846,2,
Andrew Robertson,2019/2020 - Liverpool,UEFA Champions League,€,67.3,Liverpool FC,Scotland,"26,93",LB,8,649,0.9707241910631743,7,1,7,2,0
Ángel Correa,2017/2018 - Atlético de Madrid,UEFA Europa League,€,42.4,Atlético de Madrid,Argentina,"25,93",RW,9,546,2.142857142857143,13,8,1.625,2,0
Ángel Correa,2018/2019 - Atlético de Madrid,UEFA Champions League,€,42.4,Atlético de Madrid,Argentina,"25,93",RW,8,353,2.54957507082153,10,6,1.6666666666666667,2,
Ángel Correa,2019/2020 - Atlético de Madrid,UEFA Champions League,€,42.4,Atlético de Madrid,Argentina,"25,93",RW,8,445,2.2247191011235956,11,5,2.2,2,0
Ansu Fati,2019/2020 - Barcelona,Spanish La Liga,€,78.4,FC Barcelona,Spain,"18,29",LW,24,1026,1.6666666666666665,19,19,1,2,1
Anthony Martial,2016/2017 - Manchester United,English Premier League,€,75.4,Manchester United FC,France,"25,20",FW,25,1559,1.5009621552277101,26,28,0.9285714285714286,2,0
Anthony Martial,2018/2019 - Manchester United,English Premier League,€,75.4,Manchester United FC,France,"25,20",FW,27,1624,0.7758620689655172,14,28,0.5,2,
Antoine Griezmann,2018/2019 - Atlético de Madrid,UEFA Champions League,€,78.9,FC Barcelona,France,"29,90",FW,8,720,0.875,7,5,1.4,2,
Antoine Griezmann,2019/2020 - Barcelona,Spanish La Liga,€,78.9,FC Barcelona,France,"29,90",FW,35,2561,0.3514252245216712,10,21,0.47619047619047616,2,
Antoine Griezmann,2019/2020 - Barcelona,UEFA Champions League,€,78.9,FC Barcelona,France,"29,90",FW,9,657,1.2328767123287672,9,5,1.8,2,0
Arthur,2018/2019 - Barcelona,Spanish La Liga,€,48.8,Juventus FC,Brazil,"24,51",CM,27,1439,0.6879777623349548,11,40,0.275,2,
Aymeric Laporte,2016/2017 - Athletic Club,UEFA Europa League,€,67.5,Manchester City FC,France,"26,72",CB,6,540,1.3333333333333335,8,4,2,2,0
Ben Chilwell,2016/2017 - Leicester City,English Premier League,€,52,Chelsea FC,England,"24,15",LB,12,696,0.9051724137931034,7,15,0.4666666666666667,2,0
Benjamin Pavard,2017/2018 - VfB Stuttgart,German Bundesliga,€,65.1,FC Bayern München,France,"24,88",RB,34,3060,0.7058823529411765,24,21,1.1428571428571428,2,0
Benjamin Pavard,2020/2021 - FC Bayern München,German Bundesliga,€,65.1,FC Bayern München,France,"24,88",RB,8,622,1.4469453376205788,10,5,2,2,0
Bruno Fernandes,2016/2017 - Sampdoria,Italian Serie A,€,107.4,Manchester United FC,Portugal,"26,44",AM,33,1721,1.0981987216734457,21,40,0.525,2,0
Bruno Fernandes,2017/2018 - Sporting CP,UEFA Champions League,€,107.4,Manchester United FC,Portugal,"26,44",AM,6,537,1.5083798882681565,9,14,0.6428571428571429,2,0
Bruno Fernandes,2019/2020 - Manchester United,English Premier League,€,107.4,Manchester United FC,Portugal,"26,44",AM,14,1192,0.6795302013422819,9,14,0.6428571428571429,2,
Bruno Fernandes,2020/2021 - Manchester United,English Premier League,€,107.4,Manchester United FC,Portugal,"26,44",AM,10,795,1.471698113207547,13,15,0.8666666666666667,2,0
Calvin Stengs,2019/2020 - AZ,UEFA Europa League,€,26,AZ Alkmaar,Netherlands,"22,16",RW,8,701,0.6419400855920114,5,6,0.8333333333333334,2,0
Casemiro,2016/2017 - Real Madrid,UEFA Champions League,€,71.8,Real Madrid CF,Brazil,"28,98",DM,9,827,1.9588875453446193,18,26,0.6923076923076923,2,0
Casemiro,2017/2018 - Real Madrid,UEFA Champions League,€,71.8,Real Madrid CF,Brazil,"28,98",DM,12,944,1.048728813559322,11,17,0.6470588235294118,2,0
Casemiro,2020/2021 - Real Madrid,UEFA Champions League,€,71.8,Real Madrid CF,Brazil,"28,98",DM,5,392,1.6071428571428568,7,12,0.5833333333333334,2,0
Christian Pulisic,2018/2019 - Borussia Dortmund,German Bundesliga,€,66,Chelsea FC,United States of America,"22,41",LW,20,923,0.8775731310942578,9,26,0.34615384615384615,2,
Christopher Nkunku,2016/2017 - Paris Saint-Germain,French Ligue 1,€,41.2,RB Leipzig,France,"23,25",AM,8,397,2.2670025188916876,10,8,1.25,2,0
Christopher Nkunku,2019/2020 - RB Leipzig,German Bundesliga,€,41.2,RB Leipzig,France,"23,25",AM,32,1926,1.1214953271028036,24,40,0.6,2,
Christopher Nkunku,2020/2021 - RB Leipzig,German Bundesliga,€,41.2,RB Leipzig,France,"23,25",AM,10,621,2.028985507246377,14,15,0.9333333333333333,2,0
Ciro Immobile,2017/2018 - Lazio,UEFA Europa League,€,51.6,SS Lazio,Italy,"30,99",FW,9,582,0.9278350515463918,6,10,0.6,2,0
Ciro Immobile,2018/2019 - Lazio,UEFA Europa League,€,51.6,SS Lazio,Italy,"30,99",FW,5,388,0.9278350515463918,4,10,0.4,2,
Clément Lenglet,2016/2017 - Sevilla,Spanish La Liga,€,62.5,FC Barcelona,France,"25,66",CB,17,1357,2.3212969786293294,35,8,4.375,2,0
Clément Lenglet,2018/2019 - Barcelona,UEFA Champions League,€,62.5,FC Barcelona,France,"25,66",CB,12,999,1.0810810810810811,12,10,1.2,2,
Cristiano Ronaldo,2017/2018 - Real Madrid,UEFA Champions League,€,63.9,Juventus FC,Portugal,"36,03",LW,13,1170,0.46153846153846156,6,12,0.5,2,0
Dayot Upamecano,2016/2017 - FC Red Bull Salzburg,UEFA Europa League,€,65.3,RB Leipzig,France,"22,30",CB,4,360,2.25,9,1,9,2,0
Dayot Upamecano,2017/2018 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,28,2263,1.2726469288555016,32,11,2.909090909090909,2,1
Dayot Upamecano,2020/2021 - RB Leipzig,German Bundesliga,€,65.3,RB Leipzig,France,"22,30",CB,9,701,1.2838801711840229,10,1,10,2,0
Donny van de Beek,2018/2019 - Ajax,UEFA Champions League,€,47.5,Manchester United FC,Netherlands,"23,83",CM,12,984,1.2804878048780488,14,7,2,2,
Donyell Malen,2017/2018 - Jong PSV,Dutch Eerste Divisie,€,37.7,PSV Eindhoven,Netherlands,"22,07",FW,22,1595,,,3,,2,
Dusan Tadic,2019/2020 - Ajax,UEFA Champions League,€,21.7,AFC Ajax,Serbia,"32,24",LW,6,540,2.1666666666666665,13,11,1.1818181818181819,2,0
Eden Hazard,2017/2018 - Chelsea,English Premier League,€,50.2,Real Madrid CF,Belgium,"30,11",LW,34,2432,0.4810855263157895,13,82,0.15853658536585366,2,0
Eden Hazard,2018/2019 - Chelsea,English Premier League,€,50.2,Real Madrid CF,Belgium,"30,11",LW,37,2925,0.36923076923076925,12,104,0.11538461538461539,2,
Ederson,2018/2019 - Manchester City,English Premier League,€,61.9,Manchester City FC,Brazil,"27,50",GK,38,3420,0.05263157894736842,2,3,0.6666666666666666,2,
Edin Visca,2017/2018 - Istanbul Basaksehir,Turkish Super Lig,€,9.2,Istanbul Basaksehir FK,Bosnia-Herzegovina,"31,00",RW,33,2839,0.6340260655160267,20,33,0.6060606060606061,2,0
Edin Visca,2018/2019 - Istanbul Basaksehir,Turkish Super Lig,€,9.2,Istanbul Basaksehir FK,Bosnia-Herzegovina,"31,00",RW,34,3049,0.44276812069530996,15,30,0.5,2,
Edin Visca,2019/2020 - Istanbul Basaksehir,Turkish Super Lig,€,9.2,Istanbul Basaksehir FK,Bosnia-Herzegovina,"31,00",RW,33,2935,0.42930153321976156,14,22,0.6363636363636364,2,1
Edmond Tapsoba,2019/2020 - Bayer 04 Leverkusen,German Bundesliga,€,45.9,Bayer 04 Leverkusen,Burkina Faso,"22,04",CB,14,1057,1.1069063386944182,13,3,4.333333333333333,2,
Eduardo Camavinga,2020/2021 - Rennes,French Ligue 1,€,57.5,Stade Rennais FC,France,"18,26",CM,11,691,2.0839363241678726,16,15,1.0666666666666667,2,0
Elisha Owusu,2019/2020 - KAA Gent,UEFA Europa League,€,10.1,KAA Gent,France,"23,27",DM,8,690,1.826086956521739,14,8,1.75,2,0
Emiliano Buendía,2020/2021 - Norwich City,English Football League - Championship,€,27.2,Norwich City FC,Argentina,"24,14",RW,13,1115,2.502242152466368,31,22,1.4090909090909092,2,1
Esteban Andrada,2016/2017 - Lanús,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,16,1440,0.0625,1,4,0.25,2,0
Esteban Andrada,2019/2020 - Boca Juniors,Argentina Superliga,€,8.8,Boca Juniors,Argentina,"30,05",GK,20,1800,,,8,,2,
