Player,Season - Club played for,Competition name,Value currency (millions),Market value,Current club,Player nationality,Player age,Position,games_appearances,mins_played,goal_assist,total_att_assist,Passes per 90 mins weighted by mins_played per _Season - Club - Competition,Pass success weighted by total_pass per _Season - Club - Competition,total_pass,Pass success final third weighted by total_pass per _Season - Club - Competition,total_final_third_passes,Cross accuracy weighted by total_cross_nocorner per _Season - Club - Competition,total_cross_nocorner
Kylian Mbappé,2016/2017 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,1500,8,31,"20,3",73%,339,69%,201,"20,0%",25
Kylian Mbappé,2016/2017 - Monaco,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,9,536,,6,"15,1",83%,90,78%,50,"22,2%",9
Kylian Mbappé,2017/2018 - Monaco,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,1,75,,,"32,4",70%,27,46%,13,,2
Kylian Mbappé,2017/2018 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,27,2097,8,52,"28,6",83%,666,75%,348,"25,0%",40
Kylian Mbappé,2017/2018 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,658,3,14,"36,1",81%,264,73%,129,"20,0%",10
Kylian Mbappé,2018/2019 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,29,2342,7,47,"29,9",79%,779,72%,447,"25,0%",24
Kylian Mbappé,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,8,701,5,16,"29,3",81%,228,74%,129,"14,3%",7
Kylian Mbappé,2019/2020 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,20,1514,5,40,"35,8",80%,602,72%,341,"14,9%",47
Kylian Mbappé,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,10,652,5,13,"33,7",85%,244,81%,112,"7,7%",13
Kylian Mbappé,2020/2021 - Paris Saint-Germain,French Ligue 1,€,185,Paris Saint-Germain FC,France,"22,15",LW,9,606,4,13,"38,6",82%,260,73%,148,"7,7%",13
Kylian Mbappé,2020/2021 - Paris Saint-Germain,UEFA Champions League,€,185,Paris Saint-Germain FC,France,"22,15",LW,5,449,2,8,"30,5",78%,152,72%,87,"25,0%",4
Harry Kane,2016/2017 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,30,2531,7,41,"21,2",72%,597,69%,334,"17,2%",29
Harry Kane,2016/2017 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,3,263,,7,"25,7",75%,75,66%,41,"66,7%",3
Harry Kane,2016/2017 - Tottenham Hotspur,UEFA Europa League,€,125,Tottenham Hotspur FC,England,"27,55",FW,2,180,,5,"29,0",84%,58,88%,32,,3
Harry Kane,2017/2018 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,37,3083,2,33,"19,2",71%,657,63%,397,"15,0%",20
Harry Kane,2017/2018 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,7,597,2,14,"14,8",79%,98,75%,59,,4
Harry Kane,2018/2019 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,28,2427,4,30,"20,4",73%,551,68%,302,"33,3%",12
Harry Kane,2018/2019 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,9,777,1,10,"20,0",78%,173,68%,92,,4
Harry Kane,2019/2020 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,29,2589,2,27,"19,2",67%,553,61%,301,"21,1%",19
Harry Kane,2019/2020 - Tottenham Hotspur,UEFA Champions League,€,125,Tottenham Hotspur FC,England,"27,55",FW,5,450,0,4,"19,6",76%,98,75%,55,"20,0%",5
Harry Kane,2020/2021 - Tottenham Hotspur,English Premier League,€,125,Tottenham Hotspur FC,England,"27,55",FW,11,984,10,22,"24,5",71%,268,67%,145,"33,3%",6
Harry Kane,2020/2021 - Tottenham Hotspur,UEFA Europa League,€,125,Tottenham Hotspur FC,England,"27,55",FW,3,108,2,4,"36,7",73%,44,71%,31,,0
Raheem Sterling,2016/2017 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2515,6,46,"37,0",80%,1034,75%,536,"7,5%",80
Raheem Sterling,2016/2017 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,7,577,3,14,"34,2",84%,219,78%,113,"19,0%",21
Raheem Sterling,2017/2018 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2592,11,55,"40,6",84%,1170,78%,632,"16,7%",36
Raheem Sterling,2017/2018 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,8,495,1,9,"37,5",81%,206,76%,99,"12,5%",8
Raheem Sterling,2018/2019 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,34,2776,10,66,"40,9",86%,1263,79%,659,"14,5%",62
Raheem Sterling,2018/2019 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,10,871,2,26,"37,5",83%,363,72%,170,"30,8%",13
Raheem Sterling,2019/2020 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,33,2660,1,48,"39,5",83%,1168,77%,639,"16,7%",48
Raheem Sterling,2019/2020 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,9,599,3,16,"32,3",80%,215,76%,111,"25,0%",8
Raheem Sterling,2020/2021 - Manchester City,English Premier League,€,125,Manchester City FC,England,"26,19",LW,9,730,1,9,"34,9",83%,283,73%,133,"0,0%",6
Raheem Sterling,2020/2021 - Manchester City,UEFA Champions League,€,125,Manchester City FC,England,"26,19",LW,6,473,2,7,"31,8",86%,167,80%,70,"0,0%",4
Jadon Sancho,2017/2018 - Borussia Dortmund,German Bundesliga,€,117.6,Borussia Dortmund,England,"20,89",RW,12,684,4,19,"47,0",84%,357,78%,187,"18,2%",11
Jadon Sancho,2018/2019 - Borussia Dortmund,German Bundesliga,€,117.6,Borussia Dortmund,England,"20,89",RW,34,2459,14,64,"47,6",85%,1301,81%,622,"15,9%",44
Jadon Sancho,2018/2019 - Borussia Dortmund,UEFA Champions League,€,117.6,Borussia Dortmund,England,"20,89",RW,7,438,1,10,"53,0",88%,258,82%,118,"25,0%",4
Jadon Sancho,2019/2020 - Borussia Dortmund,German Bundesliga,€,117.6,Borussia Dortmund,England,"20,89",RW,32,2291,16,69,"59,2",85%,1506,81%,718,"13,2%",38
Jadon Sancho,2019/2020 - Borussia Dortmund,UEFA Champions League,€,117.6,Borussia Dortmund,England,"20,89",RW,8,647,2,15,"55,4",85%,398,84%,203,"33,3%",9
Jadon Sancho,2020/2021 - Borussia Dortmund,German Bundesliga,€,117.6,Borussia Dortmund,England,"20,89",RW,8,633,3,15,"61,6",82%,433,80%,216,"15,4%",13
Jadon Sancho,2020/2021 - Borussia Dortmund,UEFA Champions League,€,117.6,Borussia Dortmund,England,"20,89",RW,5,296,2,12,"62,3",88%,205,84%,129,"14,3%",7
Marcus Rashford,2016/2017 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,32,1701,1,21,"28,8",79%,544,76%,316,"14,9%",67
Marcus Rashford,2016/2017 - Manchester United,UEFA Europa League,€,115,Manchester United FC,England,"23,29",LW,11,767,2,11,"28,4",79%,242,73%,144,"13,3%",15
Marcus Rashford,2017/2018 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,35,1807,5,22,"28,7",78%,576,68%,293,"12,8%",47
Marcus Rashford,2017/2018 - Manchester United,UEFA Champions League,€,115,Manchester United FC,England,"23,29",LW,8,343,1,5,"32,0",75%,122,65%,65,"20,0%",10
Marcus Rashford,2018/2019 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,33,2342,6,38,"25,6",78%,666,73%,341,"12,5%",32
Marcus Rashford,2018/2019 - Manchester United,UEFA Champions League,€,115,Manchester United FC,England,"23,29",LW,10,724,,8,"25,9",82%,208,78%,83,"18,8%",16
Marcus Rashford,2019/2020 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,31,2653,7,33,"31,9",77%,941,71%,547,"23,1%",26
Marcus Rashford,2019/2020 - Manchester United,UEFA Europa League,€,115,Manchester United FC,England,"23,29",LW,6,414,0,7,"38,0",84%,175,77%,99,"0,0%",2
Marcus Rashford,2020/2021 - Manchester United,English Premier League,€,115,Manchester United FC,England,"23,29",LW,10,844,4,17,"33,4",81%,313,77%,161,"25,0%",4
Marcus Rashford,2020/2021 - Manchester United,UEFA Champions League,€,115,Manchester United FC,England,"23,29",LW,6,416,0,5,"30,3",79%,140,75%,68,"0,0%",3
Mohamed Salah,2016/2017 - Roma,Italian Serie A,€,115,Liverpool FC,Egypt,"28,67",RW,31,2485,11,71,"35,0",80%,967,76%,532,"18,6%",70
Mohamed Salah,2016/2017 - Roma,UEFA Europa League,€,115,Liverpool FC,Egypt,"28,67",RW,6,373,1,10,"31,4",83%,130,77%,75,"16,7%",6
Mohamed Salah,2017/2018 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,36,2921,10,62,"29,1",77%,946,70%,588,"32,4%",34
Mohamed Salah,2017/2018 - Liverpool,UEFA Champions League,€,115,Liverpool FC,Egypt,"28,67",RW,13,929,4,29,"28,4",75%,293,72%,184,"62,5%",8
Mohamed Salah,2018/2019 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,38,3256,8,68,"29,8",76%,1079,71%,700,"21,4%",28
Mohamed Salah,2018/2019 - Liverpool,UEFA Champions League,€,115,Liverpool FC,Egypt,"28,67",RW,12,1058,2,14,"27,7",71%,326,67%,210,"33,3%",6
Mohamed Salah,2019/2020 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,34,2884,10,61,"30,6",77%,979,69%,611,"15,4%",26
Mohamed Salah,2019/2020 - Liverpool,UEFA Champions League,€,115,Liverpool FC,Egypt,"28,67",RW,8,731,2,14,"35,7",77%,290,70%,179,"16,7%",6
Mohamed Salah,2020/2021 - Liverpool,English Premier League,€,115,Liverpool FC,Egypt,"28,67",RW,10,873,2,23,"38,6",84%,374,77%,209,"25,0%",4
Mohamed Salah,2020/2021 - Liverpool,UEFA Champions League,€,115,Liverpool FC,Egypt,"28,67",RW,6,419,1,6,"25,1",74%,117,67%,51,,0
Neymar,2016/2017 - Barcelona,Spanish La Liga,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,30,2652,11,91,"51,7",77%,1522,69%,954,"23,1%",78
Neymar,2016/2017 - Barcelona,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,9,797,8,26,"51,5",75%,456,66%,279,"27,3%",22
Neymar,2017/2018 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,20,1788,13,69,"67,2",80%,1336,70%,748,"20,5%",39
Neymar,2017/2018 - Paris Saint-Germain,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,7,630,3,23,"55,7",78%,390,67%,219,"33,3%",6
Neymar,2018/2019 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,17,1441,7,42,"61,4",81%,983,74%,536,"27,3%",11
Neymar,2018/2019 - Paris Saint-Germain,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,6,532,2,21,"53,5",83%,316,75%,163,"12,5%",8
Neymar,2019/2020 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,15,1320,6,39,"59,7",81%,876,73%,484,"26,1%",23
Neymar,2019/2020 - Paris Saint-Germain,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,7,585,4,16,"50,2",75%,326,62%,158,"0,0%",10
Neymar,2020/2021 - Paris Saint-Germain,French Ligue 1,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,6,479,3,18,"58,6",81%,312,73%,176,"28,6%",7
Neymar,2020/2021 - Paris Saint-Germain,UEFA Champions League,€,115,Paris Saint-Germain FC,Brazil,"29,03",LW,5,385,0,9,"45,4",81%,194,76%,99,"0,0%",5
Kevin De Bruyne,2016/2017 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,36,2883,18,103,"56,2",82%,1801,77%,1010,"22,9%",170
Kevin De Bruyne,2016/2017 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,6,539,1,9,"46,1",84%,276,78%,138,"8,0%",25
Kevin De Bruyne,2017/2018 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,37,3083,16,106,"78,6",83%,2693,76%,1314,"14,1%",163
Kevin De Bruyne,2017/2018 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,8,667,4,13,"77,6",83%,575,73%,223,"26,5%",34
Kevin De Bruyne,2018/2019 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,19,974,2,36,"67,0",84%,725,74%,361,"18,2%",55
Kevin De Bruyne,2018/2019 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,4,247,4,10,"50,6",82%,139,77%,64,"7,1%",14
Kevin De Bruyne,2019/2020 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,35,2798,20,136,"61,3",81%,1907,74%,959,"15,8%",183
Kevin De Bruyne,2019/2020 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,7,574,2,27,"45,9",77%,293,70%,159,"15,8%",38
Kevin De Bruyne,2020/2021 - Manchester City,English Premier League,€,113.5,Manchester City FC,Belgium,"29,63",AM,9,742,6,28,"56,0",79%,462,71%,247,"21,9%",32
Kevin De Bruyne,2020/2021 - Manchester City,UEFA Champions League,€,113.5,Manchester City FC,Belgium,"29,63",AM,2,167,4,8,"64,7",85%,120,75%,51,"0,0%",6
Trent Alexander-Arnold,2016/2017 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,7,165,,1,"38,7",65%,71,55%,22,"16,7%",6
Trent Alexander-Arnold,2017/2018 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,19,1575,1,25,"57,5",77%,1007,60%,315,"14,3%",91
Trent Alexander-Arnold,2017/2018 - Liverpool,UEFA Champions League,€,110.8,Liverpool FC,England,"22,36",RB,10,819,1,5,"52,5",77%,478,64%,148,"12,8%",39
Trent Alexander-Arnold,2018/2019 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,29,2466,12,48,"61,9",77%,1697,65%,568,"24,5%",139
Trent Alexander-Arnold,2018/2019 - Liverpool,UEFA Champions League,€,110.8,Liverpool FC,England,"22,36",RB,11,920,3,22,"52,7",65%,539,57%,187,"31,4%",51
Trent Alexander-Arnold,2019/2020 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,38,3176,13,87,"69,1",77%,2440,66%,820,"16,6%",259
Trent Alexander-Arnold,2019/2020 - Liverpool,UEFA Champions League,€,110.8,Liverpool FC,England,"22,36",RB,7,582,1,17,"89,8",79%,581,67%,205,"15,4%",52
Trent Alexander-Arnold,2020/2021 - Liverpool,English Premier League,€,110.8,Liverpool FC,England,"22,36",RB,9,714,1,13,"67,4",80%,535,65%,183,"20,5%",44
Trent Alexander-Arnold,2020/2021 - Liverpool,UEFA Champions League,€,110.8,Liverpool FC,England,"22,36",RB,4,352,2,6,"64,7",74%,253,49%,67,"7,1%",14
Erling Haaland,2018/2019 - FC Red Bull Salzburg,UEFA Europa League,€,110,Borussia Dortmund,Norway,"20,57",FW,1,4,,,"22,5",,1,,1,,
Erling Haaland,2019/2020 - Borussia Dortmund,German Bundesliga,€,110,Borussia Dortmund,Norway,"20,57",FW,15,1062,2,9,"19,5",71%,230,65%,92,"16,7%",6
Erling Haaland,2019/2020 - Borussia Dortmund,UEFA Champions League,€,110,Borussia Dortmund,Norway,"20,57",FW,2,180,0,0,"16,0",75%,32,67%,12,,0
Erling Haaland,2019/2020 - FC Red Bull Salzburg,UEFA Champions League,€,110,Borussia Dortmund,Norway,"20,57",FW,6,374,1,4,"23,1",64%,96,59%,49,"33,3%",3
Erling Haaland,2020/2021 - Borussia Dortmund,German Bundesliga,€,110,Borussia Dortmund,Norway,"20,57",FW,8,651,2,10,"18,7",74%,135,69%,74,"0,0%",1
Erling Haaland,2020/2021 - Borussia Dortmund,UEFA Champions League,€,110,Borussia Dortmund,Norway,"20,57",FW,4,345,0,5,"17,5",75%,67,62%,34,"40,0%",5
Sadio Mané,2016/2017 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,27,2240,5,44,"41,0",78%,1020,71%,561,"17,5%",40
Sadio Mané,2017/2018 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,29,2206,7,49,"39,2",80%,962,74%,505,"18,8%",32
Sadio Mané,2017/2018 - Liverpool,UEFA Champions League,€,110,Liverpool FC,Senegal,"28,85",LW,11,940,1,8,"32,3",77%,337,68%,154,"6,7%",15
Sadio Mané,2018/2019 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,36,3085,1,45,"34,5",78%,1184,70%,605,"15,4%",39
Sadio Mané,2018/2019 - Liverpool,UEFA Champions League,€,110,Liverpool FC,Senegal,"28,85",LW,13,1150,1,16,"25,5",76%,326,69%,171,"12,5%",16
Sadio Mané,2019/2020 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,35,2753,7,59,"36,1",82%,1104,76%,608,"18,8%",48
Sadio Mané,2019/2020 - Liverpool,UEFA Champions League,€,110,Liverpool FC,Senegal,"28,85",LW,8,630,1,15,"42,3",81%,296,78%,170,"7,7%",13
Sadio Mané,2020/2021 - Liverpool,English Premier League,€,110,Liverpool FC,Senegal,"28,85",LW,10,825,1,16,"32,2",78%,295,73%,156,"18,2%",11
Sadio Mané,2020/2021 - Liverpool,UEFA Champions League,€,110,Liverpool FC,Senegal,"28,85",LW,6,363,1,3,"30,7",76%,124,62%,45,"14,3%",7
Bruno Fernandes,2016/2017 - Sampdoria,Italian Serie A,€,107.4,Manchester United FC,Portugal,"26,44",AM,33,1721,2,52,"45,3",75%,867,68%,492,"19,8%",101
Bruno Fernandes,2017/2018 - Sporting CP,Portuguese Primeira Liga,€,107.4,Manchester United FC,Portugal,"26,44",AM,33,2804,8,72,"49,4",75%,1539,64%,720,"15,4%",130
Bruno Fernandes,2017/2018 - Sporting CP,UEFA Champions League,€,107.4,Manchester United FC,Portugal,"26,44",AM,6,537,1,10,"46,4",79%,277,68%,114,"6,3%",16
Bruno Fernandes,2017/2018 - Sporting CP,UEFA Europa League,€,107.4,Manchester United FC,Portugal,"26,44",AM,6,567,3,22,"54,4",80%,343,67%,147,"28,0%",25
Bruno Fernandes,2018/2019 - Sporting CP,Portuguese Primeira Liga,€,107.4,Manchester United FC,Portugal,"26,44",AM,33,2942,13,104,"53,9",75%,1761,65%,894,"26,7%",116
Bruno Fernandes,2018/2019 - Sporting CP,UEFA Europa League,€,107.4,Manchester United FC,Portugal,"26,44",AM,8,703,1,16,"55,4",81%,433,68%,164,"14,3%",21
Bruno Fernandes,2019/2020 - Manchester United,English Premier League,€,107.4,Manchester United FC,Portugal,"26,44",AM,14,1192,7,30,"58,7",76%,777,69%,408,"13,3%",30
Bruno Fernandes,2019/2020 - Manchester United,UEFA Europa League,€,107.4,Manchester United FC,Portugal,"26,44",AM,5,362,1,16,"62,4",73%,251,66%,150,"9,1%",11
Bruno Fernandes,2019/2020 - Sporting CP,Portuguese Primeira Liga,€,107.4,Manchester United FC,Portugal,"26,44",AM,17,1529,7,63,"56,2",77%,954,67%,479,"19,0%",58
Bruno Fernandes,2019/2020 - Sporting CP,UEFA Europa League,€,107.4,Manchester United FC,Portugal,"26,44",AM,5,449,3,9,"51,1",74%,255,59%,100,"8,3%",12
Bruno Fernandes,2020/2021 - Manchester United,English Premier League,€,107.4,Manchester United FC,Portugal,"26,44",AM,10,795,4,35,"66,0",76%,583,69%,281,"15,6%",32
Bruno Fernandes,2020/2021 - Manchester United,UEFA Champions League,€,107.4,Manchester United FC,Portugal,"26,44",AM,6,439,1,15,"59,9",74%,292,65%,161,"16,7%",18
Romelu Lukaku,2016/2017 - Everton,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,37,3267,6,47,"26,6",65%,965,58%,527,"13,3%",45
Romelu Lukaku,2017/2018 - Manchester United,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,34,2869,7,33,"22,6",68%,721,60%,386,"25,0%",36
Romelu Lukaku,2017/2018 - Manchester United,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,8,704,,13,"23,3",70%,182,62%,93,"12,5%",8
Romelu Lukaku,2018/2019 - Manchester United,English Premier League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,32,2130,,21,"22,6",66%,534,57%,281,"10,9%",46
Romelu Lukaku,2018/2019 - Manchester United,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,9,546,1,4,"20,4",73%,124,73%,64,,7
Romelu Lukaku,2019/2020 - Internazionale,Italian Serie A,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,36,2983,2,53,"23,4",71%,775,64%,400,"25,0%",24
Romelu Lukaku,2019/2020 - Internazionale,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,5,405,2,8,"18,0",57%,81,49%,45,"33,3%",6
Romelu Lukaku,2019/2020 - Internazionale,UEFA Europa League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,6,443,2,8,"21,1",64%,104,56%,55,"0,0%",1
Romelu Lukaku,2020/2021 - Internazionale,Italian Serie A,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,9,612,2,11,"29,3",82%,199,77%,124,"25,0%",4
Romelu Lukaku,2020/2021 - Internazionale,UEFA Champions League,€,104.6,FC Internazionale Milano,Belgium,"27,76",FW,5,446,0,8,"21,6",70%,107,66%,65,"33,3%",3
João Félix,2018/2019 - Benfica,Portuguese Primeira Liga,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,26,1733,7,29,"31,9",77%,615,69%,358,"24,2%",33
João Félix,2018/2019 - Benfica,UEFA Champions League,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,1,77,,1,"29,2",84%,25,69%,13,,4
João Félix,2018/2019 - Benfica,UEFA Europa League,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,6,494,1,6,"28,6",69%,157,64%,77,,4
João Félix,2019/2020 - Atlético de Madrid,Spanish La Liga,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,27,1747,1,15,"26,1",79%,506,73%,215,"11,8%",17
João Félix,2019/2020 - Atlético de Madrid,UEFA Champions League,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,6,426,1,6,"29,4",85%,139,84%,73,"0,0%",5
João Félix,2020/2021 - Atlético de Madrid,Spanish La Liga,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,10,647,2,13,"43,8",85%,315,81%,147,"0,0%",5
João Félix,2020/2021 - Atlético de Madrid,UEFA Champions League,€,97.8,Atlético de Madrid,Portugal,"21,26",FW,6,536,0,7,"36,8",75%,219,68%,114,"0,0%",4
Joshua Kimmich,2016/2017 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,27,1541,1,30,"81,2",90%,1390,80%,364,"18,2%",11
Joshua Kimmich,2016/2017 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,8,319,,4,"86,9",92%,308,82%,92,"25,0%",4
Joshua Kimmich,2017/2018 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,29,2333,10,53,"69,1",90%,1792,80%,512,"23,6%",148
Joshua Kimmich,2017/2018 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,11,897,3,27,"58,3",92%,581,88%,174,"17,9%",67
Joshua Kimmich,2018/2019 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,34,3060,13,82,"74,1",90%,2518,80%,685,"19,9%",136
Joshua Kimmich,2018/2019 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,7,630,2,16,"68,3",90%,478,75%,103,"29,2%",24
Joshua Kimmich,2019/2020 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,33,2822,7,75,"81,3",90%,2548,79%,641,"19,8%",81
Joshua Kimmich,2019/2020 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,11,903,4,28,"74,3",88%,745,75%,234,"22,2%",27
Joshua Kimmich,2020/2021 - FC Bayern München,German Bundesliga,€,96.5,FC Bayern München,Germany,"26,02",DM,6,461,4,12,"78,5",90%,402,82%,133,"25,0%",12
Joshua Kimmich,2020/2021 - FC Bayern München,UEFA Champions League,€,96.5,FC Bayern München,Germany,"26,02",DM,3,270,3,10,"68,0",87%,204,76%,72,"40,0%",5
Serge Gnabry,2016/2017 - SV Werder Bremen,German Bundesliga,€,95,FC Bayern München,Germany,"25,59",RW,27,1970,1,31,"27,4",77%,600,65%,224,,8
Serge Gnabry,2017/2018 - TSG 1899 Hoffenheim,German Bundesliga,€,95,FC Bayern München,Germany,"25,59",RW,22,1507,5,27,"28,8",77%,483,65%,208,"20,0%",20
Serge Gnabry,2017/2018 - TSG 1899 Hoffenheim,UEFA Europa League,€,95,FC Bayern München,Germany,"25,59",RW,1,45,,,"24,0",75%,12,86%,7,,2
Serge Gnabry,2018/2019 - FC Bayern München,German Bundesliga,€,95,FC Bayern München,Germany,"25,59",RW,30,1774,5,27,"40,2",83%,793,72%,363,"28,1%",32
Serge Gnabry,2018/2019 - FC Bayern München,UEFA Champions League,€,95,FC Bayern München,Germany,"25,59",RW,7,447,1,6,"30,0",77%,149,67%,61,"10,0%",10
Serge Gnabry,2019/2020 - FC Bayern München,German Bundesliga,€,95,FC Bayern München,Germany,"25,59",RW,31,2202,10,54,"42,0",82%,1027,72%,485,"18,6%",70
Serge Gnabry,2019/2020 - FC Bayern München,UEFA Champions League,€,95,FC Bayern München,Germany,"25,59",RW,10,766,2,12,"42,7",85%,363,76%,143,"12,0%",25
Serge Gnabry,2020/2021 - FC Bayern München,German Bundesliga,€,95,FC Bayern München,Germany,"25,59",RW,9,617,0,11,"46,1",84%,316,76%,147,"18,8%",16
Serge Gnabry,2020/2021 - FC Bayern München,UEFA Champions League,€,95,FC Bayern München,Germany,"25,59",RW,5,270,1,7,"36,3",86%,109,76%,50,"0,0%",3
Frenkie de Jong,2016/2017 - Ajax,Dutch Eredivisie,€,92.2,FC Barcelona,Netherlands,"23,76",CM,4,149,,8,"82,8",88%,137,80%,50,,
Frenkie de Jong,2016/2017 - Ajax,UEFA Europa League,€,92.2,FC Barcelona,Netherlands,"23,76",CM,4,46,,1,"97,8",90%,50,70%,10,,
Frenkie de Jong,2017/2018 - Ajax,Dutch Eredivisie,€,92.2,FC Barcelona,Netherlands,"23,76",CM,21,1514,4,28,"78,2",91%,1315,85%,325,,7
Frenkie de Jong,2018/2019 - Ajax,Dutch Eredivisie,€,92.2,FC Barcelona,Netherlands,"23,76",CM,31,2516,3,45,"88,1",91%,2463,86%,822,"16,7%",18
